Specimen properties : Specimen label,"sample1"
Specimen properties : Diameter,"0.39900",mm
Specimen properties : Length,"14.33000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.71812","2.37753","19.01472","9.89600","0.00000","2.37753","0.71812","0.05011"
"0.71792","2.36555","18.91895","9.99600","0.00000","2.36555","0.71792","0.05010"
"0.71792","2.35695","18.85011","10.09600","0.00000","2.35695","0.71792","0.05010"
"0.71771","2.33913","18.70766","10.19600","0.00000","2.33913","0.71771","0.05008"
"0.71750","2.32595","18.60222","10.29600","0.00000","2.32595","0.71750","0.05007"
"0.71729","2.31405","18.50707","10.39600","0.00000","2.31405","0.71729","0.05006"
"0.71708","2.30810","18.45946","10.49600","0.00000","2.30810","0.71708","0.05004"
"0.71708","2.29775","18.37665","10.59600","0.00000","2.29775","0.71708","0.05004"
"0.71687","2.28070","18.24034","10.69600","0.00000","2.28070","0.71687","0.05003"
"0.71687","2.28201","18.25082","10.79600","0.00000","2.28201","0.71687","0.05003"
"0.71687","2.26656","18.12721","10.89600","0.00000","2.26656","0.71687","0.05003"
"0.71667","2.26385","18.10556","10.99600","0.00000","2.26385","0.71667","0.05001"
"0.71667","2.25270","18.01636","11.09600","0.00000","2.25270","0.71667","0.05001"
"0.71667","2.24735","17.97362","11.19600","0.00000","2.24735","0.71667","0.05001"
"0.71667","2.23641","17.88610","11.29600","0.00000","2.23641","0.71667","0.05001"
"0.71667","2.23330","17.86120","11.39600","0.00000","2.23330","0.71667","0.05001"
"0.71667","2.21806","17.73936","11.49600","0.00000","2.21806","0.71667","0.05001"
"0.71667","2.21360","17.70366","11.59600","0.00000","2.21360","0.71667","0.05001"
"0.71667","2.21077","17.68102","11.69600","0.00000","2.21077","0.71667","0.05001"
"0.71667","2.19962","17.59190","11.79600","0.00000","2.19962","0.71667","0.05001"
"0.71667","2.20036","17.59778","11.89600","0.00000","2.20036","0.71667","0.05001"
"0.71667","2.19133","17.52556","11.99600","0.00000","2.19133","0.71667","0.05001"
"0.71667","2.18910","17.50770","12.09600","0.00000","2.18910","0.71667","0.05001"
"0.71667","2.17971","17.43261","12.19600","0.00000","2.17971","0.71667","0.05001"
"0.71667","2.17357","17.38355","12.29600","0.00000","2.17357","0.71667","0.05001"
"0.71667","2.16482","17.31353","12.39600","0.00000","2.16482","0.71667","0.05001"
"0.71667","2.16346","17.30268","12.49600","0.00000","2.16346","0.71667","0.05001"
"0.71667","2.15498","17.23486","12.59600","0.00000","2.15498","0.71667","0.05001"
"0.71667","2.15423","17.22885","12.69600","0.00000","2.15423","0.71667","0.05001"
"0.71667","2.14921","17.18871","12.79600","0.00000","2.14921","0.71667","0.05001"
"0.71667","2.13986","17.11391","12.89600","0.00000","2.13986","0.71667","0.05001"
"0.71667","2.14171","17.12874","12.99600","0.00000","2.14171","0.71667","0.05001"
"0.71667","2.13729","17.09335","13.09600","0.00000","2.13729","0.71667","0.05001"
"0.71667","2.13136","17.04596","13.19600","0.00000","2.13136","0.71667","0.05001"
"0.71667","2.13519","17.07660","13.29600","0.00000","2.13519","0.71667","0.05001"
"0.71667","2.12884","17.02578","13.39600","0.00000","2.12884","0.71667","0.05001"
"0.71667","2.12463","16.99216","13.49600","0.00000","2.12463","0.71667","0.05001"
"0.71667","2.11250","16.89514","13.59600","0.00000","2.11250","0.71667","0.05001"
"0.71667","2.10989","16.87424","13.69600","0.00000","2.10989","0.71667","0.05001"
"0.71667","2.10660","16.84790","13.79600","0.00000","2.10660","0.71667","0.05001"
"0.71667","2.10192","16.81046","13.89600","0.00000","2.10192","0.71667","0.05001"
"0.71667","2.09510","16.75592","13.99600","0.00000","2.09510","0.71667","0.05001"
"0.71667","2.09843","16.78256","14.09600","0.00000","2.09843","0.71667","0.05001"
"0.71667","2.09255","16.73558","14.19600","0.00000","2.09255","0.71667","0.05001"
"0.71667","2.08320","16.66080","14.29600","0.00000","2.08320","0.71667","0.05001"
"0.71667","2.07806","16.61967","14.39600","0.00000","2.07806","0.71667","0.05001"
"0.71667","2.08663","16.68818","14.49600","0.00000","2.08663","0.71667","0.05001"
"0.71667","2.07681","16.60965","14.59600","0.00000","2.07681","0.71667","0.05001"
"0.71667","2.07238","16.57426","14.69600","0.00000","2.07238","0.71667","0.05001"
"0.71667","2.07194","16.57074","14.79600","0.00000","2.07194","0.71667","0.05001"
"0.71667","2.07583","16.60183","14.89600","0.00000","2.07583","0.71667","0.05001"
"0.71667","2.07140","16.56640","14.99600","0.00000","2.07140","0.71667","0.05001"
"0.71667","2.06907","16.54775","15.09600","0.00000","2.06907","0.71667","0.05001"
"0.71667","2.06050","16.47922","15.19600","0.00000","2.06050","0.71667","0.05001"
"0.71667","2.05953","16.47151","15.29600","0.00000","2.05953","0.71667","0.05001"
"0.71667","2.05517","16.43658","15.39600","0.00000","2.05517","0.71667","0.05001"
"0.71667","2.04836","16.38213","15.49600","0.00000","2.04836","0.71667","0.05001"
"0.71667","2.04924","16.38918","15.59600","0.00000","2.04924","0.71667","0.05001"
"0.71667","2.04398","16.34711","15.69600","0.00000","2.04398","0.71667","0.05001"
"0.71667","2.03896","16.30692","15.79600","0.00000","2.03896","0.71667","0.05001"
