Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.37600",mm
Specimen properties : Length,"12.02000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.60083","1.05655","9.51537","12.80800","0.00000","1.05655","0.60083","0.04999"
"0.60083","1.05542","9.50516","12.90800","0.00000","1.05542","0.60083","0.04999"
"0.60083","1.06026","9.54879","13.00800","0.00000","1.06026","0.60083","0.04999"
"0.60083","1.05467","9.49840","13.10800","0.00000","1.05467","0.60083","0.04999"
"0.60083","1.05589","9.50941","13.20800","0.00000","1.05589","0.60083","0.04999"
"0.60083","1.05527","9.50379","13.30800","0.00000","1.05527","0.60083","0.04999"
"0.60083","1.04793","9.43773","13.40800","0.00000","1.04793","0.60083","0.04999"
"0.60083","1.04261","9.38980","13.50800","0.00000","1.04261","0.60083","0.04999"
"0.60083","1.05286","9.48207","13.60800","0.00000","1.05286","0.60083","0.04999"
"0.60083","1.05166","9.47127","13.70800","0.00000","1.05166","0.60083","0.04999"
"0.60083","1.04232","9.38719","13.80800","0.00000","1.04232","0.60083","0.04999"
"0.60083","1.04631","9.42313","13.90800","0.00000","1.04631","0.60083","0.04999"
"0.60083","1.04781","9.43667","14.00800","0.00000","1.04781","0.60083","0.04999"
"0.60083","1.04294","9.39282","14.10800","0.00000","1.04294","0.60083","0.04999"
"0.60083","1.04371","9.39967","14.20800","0.00000","1.04371","0.60083","0.04999"
"0.60083","1.04048","9.37063","14.30800","0.00000","1.04048","0.60083","0.04999"
"0.60083","1.03290","9.30239","14.40800","0.00000","1.03290","0.60083","0.04999"
"0.60083","1.04262","9.38991","14.50800","0.00000","1.04262","0.60083","0.04999"
"0.60083","1.03625","9.33252","14.60800","0.00000","1.03625","0.60083","0.04999"
"0.60083","1.03827","9.35074","14.70800","0.00000","1.03827","0.60083","0.04999"
"0.60083","1.03846","9.35242","14.80800","0.00000","1.03846","0.60083","0.04999"
"0.60083","1.03287","9.30212","14.90800","0.00000","1.03287","0.60083","0.04999"
"0.60083","1.03474","9.31896","15.00800","0.00000","1.03474","0.60083","0.04999"
"0.60083","1.02567","9.23724","15.10800","0.00000","1.02567","0.60083","0.04999"
"0.60083","1.02490","9.23028","15.20800","0.00000","1.02490","0.60083","0.04999"
"0.60083","1.02986","9.27498","15.30800","0.00000","1.02986","0.60083","0.04999"
