Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.30700",mm
Specimen properties : Length,"16.08000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.80437","2.70393","36.52824","13.75000","0.00000","2.70393","0.80437","0.05002"
"0.80437","2.70254","36.50948","13.85000","0.00000","2.70254","0.80437","0.05002"
"0.80437","2.68848","36.31948","13.95000","0.00000","2.68848","0.80437","0.05002"
"0.80437","2.69052","36.34706","14.05000","0.00000","2.69052","0.80437","0.05002"
"0.80437","2.67661","36.15914","14.15000","0.00000","2.67661","0.80437","0.05002"
"0.80437","2.67403","36.12435","14.25000","0.00000","2.67403","0.80437","0.05002"
"0.80437","2.66903","36.05675","14.35000","0.00000","2.66903","0.80437","0.05002"
"0.80437","2.66675","36.02592","14.45000","0.00000","2.66675","0.80437","0.05002"
"0.80437","2.66016","35.93689","14.55000","0.00000","2.66016","0.80437","0.05002"
"0.80437","2.65724","35.89751","14.65000","0.00000","2.65724","0.80437","0.05002"
"0.80437","2.65352","35.84718","14.75000","0.00000","2.65352","0.80437","0.05002"
"0.80437","2.64987","35.79794","14.85000","0.00000","2.64987","0.80437","0.05002"
"0.80437","2.64534","35.73671","14.95000","0.00000","2.64534","0.80437","0.05002"
"0.80437","2.64150","35.68488","15.05000","0.00000","2.64150","0.80437","0.05002"
"0.80437","2.64298","35.70482","15.15000","0.00000","2.64298","0.80437","0.05002"
"0.80437","2.63550","35.60382","15.25000","0.00000","2.63550","0.80437","0.05002"
"0.80437","2.62182","35.41903","15.35000","0.00000","2.62182","0.80437","0.05002"
"0.80437","2.62402","35.44878","15.45000","0.00000","2.62402","0.80437","0.05002"
"0.80437","2.62355","35.44240","15.55000","0.00000","2.62355","0.80437","0.05002"
"0.80437","2.61737","35.35888","15.65000","0.00000","2.61737","0.80437","0.05002"
"0.80437","2.60760","35.22687","15.75000","0.00000","2.60760","0.80437","0.05002"
"0.80437","2.60810","35.23359","15.85000","0.00000","2.60810","0.80437","0.05002"
"0.80437","2.60448","35.18474","15.95000","0.00000","2.60448","0.80437","0.05002"
"0.80437","2.60387","35.17656","16.05000","0.00000","2.60387","0.80437","0.05002"
"0.80437","2.59405","35.04390","16.15000","0.00000","2.59405","0.80437","0.05002"
"0.80437","2.59326","35.03310","16.25000","0.00000","2.59326","0.80437","0.05002"
"0.80437","2.58692","34.94749","16.35000","0.00000","2.58692","0.80437","0.05002"
"0.80437","2.58125","34.87099","16.39200","0.00000","2.58125","0.80437","0.05002"
